Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
SRR7245923_2	80.20991087997905	46.0	38.0	20.0	12470777.0
SRR7245924_1	83.32585289183713	46.0	38.0	20.0	11191113.0
SRR7245924_2	80.60031186548471	46.0	38.0	20.0	11191113.0
SRR7245925_1	83.2774810729492	46.0	38.0	20.0	12818732.0
SRR7245925_2	80.67728687652175	46.0	38.0	20.0	12818732.0
SRR7245926_1	83.91664617733606	46.0	38.0	20.0	13353237.0
SRR7245926_2	81.13945073911599	46.0	38.0	20.0	13353237.0
SRR7245927_1	82.81266605613959	46.0	38.0	20.0	13905800.0
SRR7245927_2	79.99195488091068	46.0	38.0	20.0	13905800.0
SRR7245928_1	81.87427251663934	46.0	38.0	20.0	15362624.0
SRR7245928_2	79.29659928090393	46.0	38.0	20.0	15362624.0
SRR7245929_1	82.51827167469325	46.0	38.0	20.0	12678095.0
SRR7245929_2	79.94790081544984	46.0	38.0	20.0	12678095.0
SRR7245930_1	83.11245556363298	46.0	38.0	20.0	13573887.0
SRR7245930_2	80.34563124838847	46.0	38.0	20.0	13573887.0
SRR7245931_1	84.19347735953697	46.0	38.0	20.0	12730542.0
SRR7245931_2	81.3711505054915	46.0	38.0	20.0	12730542.0
SRR7245932_1	83.24468607767474	46.0	38.0	20.0	13908903.0
SRR7245932_2	80.55719357071695	46.0	38.0	20.0	13908903.0
SRR7245933_1	67.88395914838695	46.0	38.0	20.0	14298354.0
SRR7245933_2	65.56954539693562	46.0	38.0	20.0	14298354.0
SRR7245934_1	71.45870003201176	46.0	38.0	20.0	16019249.0
SRR7245934_2	68.84141301776395	46.0	38.0	20.0	16019249.0
SRR7245935_1	73.6019399815303	46.0	38.0	20.0	13611327.0
SRR7245935_2	71.28906668117072	46.0	38.0	20.0	13611327.0
SRR7245936_1	72.87194104763448	46.0	38.0	20.0	15329559.0
SRR7245936_2	70.49303587518547	46.0	38.0	20.0	15329559.0
SRR7245937_1	77.52273479574423	46.0	38.0	20.0	13849620.0
SRR7245937_2	74.87477807536675	46.0	38.0	20.0	13849620.0
SRR7245938_1	72.58799311011528	46.0	38.0	20.0	12824267.0
SRR7245938_2	69.99166841926734	46.0	38.0	20.0	12824267.0
SRR7245939_1	65.45225524985173	46.0	38.0	20.0	11967226.0
SRR7245939_2	63.343278608662715	46.0	38.0	20.0	11967226.0
SRR7245940_1	72.21025668565231	46.0	38.0	20.0	12017311.0
SRR7245940_2	69.69957033990008	46.0	38.0	20.0	12017311.0
SRR7245941_1	62.2098235180596	46.0	38.0	20.0	7279169.0
SRR7245941_2	60.27428336056667	46.0	38.0	20.0	7279169.0
SRR7245942_1	70.66968606713229	46.0	38.0	20.0	6714088.0
SRR7245942_2	68.28005859936255	46.0	38.0	20.0	6714088.0
SRR7245943_1	62.23075099319272	49.0	38.0	20.0	9272990.0
SRR7245943_2	60.396811366296525	49.0	38.0	20.0	9272990.0
SRR7245944_1	59.111109177916276	47.0	38.0	20.0	6469426.0
SRR7245944_2	57.1088535574617	48.0	38.0	20.0	6469426.0
SRR7245945_1	53.08890834820885	47.0	38.0	20.0	6188900.0
SRR7245945_2	51.222199051173085	47.0	38.0	20.0	6188900.0
SRR7245946_1	58.09336089993771	46.0	38.0	20.0	6986435.0
SRR7245946_2	56.22003211955226	47.0	38.0	20.0	6986435.0
SRR7245947_1	59.38387729451614	46.0	38.0	20.0	13249444.0
SRR7245947_2	57.286479311771416	47.0	38.0	20.0	13249444.0
SRR7245948_1	55.95451600616955	47.0	38.0	20.0	12463261.0
SRR7245948_2	53.95367755827659	47.0	38.0	20.0	12463261.0
